,order,vt,
0,"[0, 0, 0, 0, 0, 0, 0]",99999,
1,[1 2 3 4 5],0.037572997,
2,[1 2 3 5 4],0.032886649,
3,[1 2 4 3 5],0.0375149,
4,[1 2 4 5 3],0.040419102,
5,[1 2 5 3 4],0.032315939,
6,[1 2 5 4 3],0.040361077,
7,[1 3 2 4 5],0.036565518,
8,[1 3 2 5 4],0.032495351,
9,[1 3 4 2 5],0.035510802,
10,[1 3 4 5 2],0.033340104,
11,[1 3 5 2 4],0.031537507,
12,[1 3 5 4 2],0.03271129,
13,[1 4 2 3 5],0.036449949,
14,[1 4 2 5 3],0.039803088,
15,[1 4 3 2 5],0.035453281,
16,[1 4 3 5 2],0.032948853,
17,[1 4 5 2 3],0.039135702,
18,[1 4 5 3 2],0.031932948,
19,[1 5 2 3 4],0.031359992,
20,[1 5 2 4 3],0.039687659,
21,[1 5 3 2 4],0.030972871,
22,[1 5 3 4 2],0.031697877,
23,[1 5 4 2 3],0.039078305,
24,[1 5 4 3 2],0.031310782,
25,[2 1 3 4 5],0.037418832,
26,[2 1 3 5 4],0.03274173,
27,[2 1 4 3 5],0.037360789,
28,[2 1 4 5 3],0.039898612,
29,[2 1 5 3 4],0.032171759,
30,[2 1 5 4 3],0.039840657,
31,[2 3 1 4 5],0.036343571,
32,[2 3 1 5 4],0.032280963,
33,[2 3 4 1 5],0.035221664,
34,[2 3 4 5 1],0.039952691,
35,[2 3 5 1 4],0.031255051,
36,[2 3 5 4 1],0.039894735,
37,[2 4 1 3 5],0.03622813,
38,[2 4 1 5 3],0.038872858,
39,[2 4 3 1 5],0.035164239,
40,[2 4 3 5 1],0.039338241,
41,[2 4 5 1 3],0.037799933,
42,[2 4 5 3 1],0.03867238,
43,[2 5 1 3 4],0.031159244,
44,[2 5 1 4 3],0.038775772,
45,[2 5 3 1 4],0.030703199,
46,[2 5 3 4 1],0.039230788,
47,[2 5 4 1 3],0.03776066,
48,[2 5 4 3 1],0.03862293,
49,[3 1 2 4 5],0.035353168,
50,[3 1 2 5 4],0.031910817,
51,[3 1 4 2 5],0.034313491,
52,[3 1 4 5 2],0.033142086,
53,[3 1 5 2 4],0.030960396,
54,[3 1 5 4 2],0.032514702,
55,[3 2 1 4 5],0.035282904,
56,[3 2 1 5 4],0.031840539,
57,[3 2 4 1 5],0.034173747,
58,[3 2 4 5 1],0.039393524,
59,[3 2 5 1 4],0.030820552,
60,[3 2 5 4 1],0.039335605,
61,[3 4 1 2 5],0.033214351,
62,[3 4 1 5 2],0.032682346,
63,[3 4 2 1 5],0.033144838,
64,[3 4 2 5 1],0.038299707,
65,[3 4 5 1 2],0.031599902,
66,[3 4 5 2 1],0.037159304,
67,[3 5 1 2 4],0.030013069,
68,[3 5 1 4 2],0.031495738,
69,[3 5 2 1 4],0.029943235,1
70,[3 5 2 4 1],0.038260782,
71,[3 5 4 1 2],0.03104006,
72,[3 5 4 2 1],0.037175749,
73,[4 1 2 3 5],0.035141915,
74,[4 1 2 5 3],0.038566199,
75,[4 1 3 2 5],0.034161778,
76,[4 1 3 5 2],0.032326579,
77,[4 1 5 2 3],0.037909054,
78,[4 1 5 3 2],0.031318802,
79,[4 2 1 3 5],0.035071794,
80,[4 2 1 5 3],0.038156506,
81,[4 2 3 1 5],0.034022366,
82,[4 2 3 5 1],0.03812463,
83,[4 2 5 1 3],0.037093815,
84,[4 2 5 3 1],0.037467397,
85,[4 3 1 2 5],0.033121665,
86,[4 3 1 5 2],0.032256393,
87,[4 3 2 1 5],0.033052314,
88,[4 3 2 5 1],0.037644847,
89,[4 3 5 1 2],0.03117914,
90,[4 3 5 2 1],0.036512697,
91,[4 5 1 2 3],0.036971602,
92,[4 5 1 3 2],0.030350255,
93,[4 5 2 1 3],0.036563992,
94,[4 5 2 3 1],0.036456499,
95,[4 5 3 1 2],0.030280414,
96,[4 5 3 2 1],0.035979167,
97,[5 1 2 3 4],0.031323857,
98,[5 1 2 4 3],0.039836635,
99,[5 1 3 2 4],0.03092842,
100,[5 1 3 4 2],0.031603671,
101,[5 1 4 2 3],0.039215173,
102,[5 1 4 3 2],0.031208715,
103,[5 2 1 3 4],0.031249195,
104,[5 2 1 4 3],0.039401881,
105,[5 2 3 1 4],0.030780157,
106,[5 2 3 4 1],0.039362212,
107,[5 2 4 1 3],0.038351361,
108,[5 2 4 3 1],0.038740621,
109,[5 3 1 2 4],0.030463842,
110,[5 3 1 4 2],0.031529152,
111,[5 3 2 1 4],0.030390205,
112,[5 3 2 4 1],0.03885301,
113,[5 3 4 1 2],0.031060678,
114,[5 3 4 2 1],0.037729006,
115,[5 4 1 2 3],0.038167048,
116,[5 4 1 3 2],0.030744638,
117,[5 4 2 1 3],0.037738062,
118,[5 4 2 3 1],0.037617939,
119,[5 4 3 1 2],0.030671112,
120,[5 4 3 2 1],0.037115441,
Min,[3 5 2 1 4],0.029943235,
